Graph profile, Graph Module, Command, UriPath, ExternalUrlDoc
v1.0, Applications, Remove-MgServicePrincipalAppRoleAssignment, /servicePrincipals/{servicePrincipal-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Applications, Remove-MgServicePrincipalClaimMappingPolicyByRef, /servicePrincipals/{servicePrincipal-id}/claimsMappingPolicies/{claimsMappingPolicy-id}/$ref
v1.0, Applications, Remove-MgServicePrincipalDelegatedPermissionClassification, /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications/{delegatedPermissionClassification-id}
v1.0, Applications, Remove-MgServicePrincipalEndpoint, /servicePrincipals/{servicePrincipal-id}/endpoints/{endpoint-id}
v1.0, Applications, Remove-MgServicePrincipalHomeRealmDiscoveryPolicyByRef, /servicePrincipals/{servicePrincipal-id}/homeRealmDiscoveryPolicies/{homeRealmDiscoveryPolicy-id}/$ref
v1.0, Applications, Remove-MgServicePrincipalKey, /servicePrincipals/{servicePrincipal-id}/removeKey
v1.0, Applications, Remove-MgServicePrincipalOwnerByRef, /servicePrincipals/{servicePrincipal-id}/owners/{directoryObject-id}/$ref
v1.0, Applications, Remove-MgServicePrincipalPassword, /servicePrincipals/{servicePrincipal-id}/removePassword
v1.0, Applications, Remove-MgUserAppRoleAssignment, /users/{user-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Applications, Set-MgApplicationLogo, /applications/{application-id}/logo
v1.0, Applications, Set-MgApplicationVerifiedPublisher, /applications/{application-id}/setVerifiedPublisher
v1.0, Applications, Test-MgApplicationProperty, /applications/validateProperties
v1.0, Applications, Test-MgServicePrincipalProperty, /servicePrincipals/validateProperties
v1.0, Applications, Update-MgApplicationExtensionProperty, /applications/{application-id}/extensionProperties/{extensionProperty-id}
v1.0, Applications, Update-MgApplicationFederatedIdentityCredential, /applications/{application-id}/federatedIdentityCredentials/{federatedIdentityCredential-id}
v1.0, Applications, Update-MgGroupAppRoleAssignment, /groups/{group-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Applications, Update-MgServicePrincipalAppRoleAssignedTo, /servicePrincipals/{servicePrincipal-id}/appRoleAssignedTo/{appRoleAssignment-id}
v1.0, Applications, Update-MgServicePrincipalAppRoleAssignment, /servicePrincipals/{servicePrincipal-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Applications, Update-MgServicePrincipalDelegatedPermissionClassification, /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications/{delegatedPermissionClassification-id}
v1.0, Applications, Update-MgServicePrincipalEndpoint, /servicePrincipals/{servicePrincipal-id}/endpoints/{endpoint-id}
v1.0, Applications, Update-MgUserAppRoleAssignment, /users/{user-id}/appRoleAssignments/{appRoleAssignment-id}
